entry_time,exit_time,dir,pnl,result,exit_type,month,pair
2025-12-09 10:00:00+00:00,2025-12-09 11:16:00+00:00,1,19.372142857142194,win,HALF+SL,2025-12,EURJPY
2025-12-09 14:00:00+00:00,2025-12-09 17:53:00+00:00,1,75.25750000000073,win,HALF+TP,2025-12,EURJPY
2025-12-09 23:00:00+00:00,2025-12-10 00:00:00+00:00,1,-11.422678571426559,loss,SL,2025-12,EURJPY
2025-12-10 08:00:00+00:00,2025-12-10 15:13:00+00:00,1,27.801071428572754,win,HALF+SL,2025-12,EURJPY
2025-12-10 20:00:00+00:00,2025-12-11 01:36:00+00:00,1,17.869821428570276,win,HALF+SL,2025-12,EURJPY
2025-12-11 03:00:00+00:00,2025-12-11 04:27:00+00:00,1,-30.955178571426245,loss,SL,2025-12,EURJPY
2025-12-11 07:00:00+00:00,2025-12-11 15:30:00+00:00,1,27.296250000003397,win,HALF+SL,2025-12,EURJPY
2025-12-11 18:00:00+00:00,2025-12-15 05:07:00+00:00,1,55.18482142857408,win,HALF+SL,2025-12,EURJPY
2025-12-15 11:00:00+00:00,2025-12-15 14:28:00+00:00,-1,-17.119107142855228,loss,SL,2025-12,EURJPY
2025-12-15 16:00:00+00:00,2025-12-16 21:19:00+00:00,1,-50.7042857142892,loss,SL,2025-12,EURJPY
2025-12-16 23:00:00+00:00,2025-12-17 00:23:00+00:00,-1,5.692142857142812,win,HALF+SL,2025-12,EURJPY
2025-12-17 03:00:00+00:00,2025-12-17 04:50:00+00:00,-1,-31.25249999999653,loss,SL,2025-12,EURJPY
2025-12-17 06:00:00+00:00,2025-12-17 08:13:00+00:00,-1,-21.757857142853254,loss,SL,2025-12,EURJPY
2025-12-17 10:00:00+00:00,2025-12-17 19:07:00+00:00,1,94.56312500000479,win,HALF+TP,2025-12,EURJPY
