entry_time,exit_time,dir,ep,exit_price,result,equity,tf
2025-06-09 23:00:00+00:00,2025-06-10 01:28:00+00:00,1,0.6048899999999999,0.6048899999999999,loss,13193196.848428557,1h
2025-06-10 00:00:00+00:00,2025-06-10 01:28:00+00:00,1,0.60493,0.60493,loss,13325128.816912843,1h
2025-06-10 09:00:00+00:00,2025-06-11 01:34:00+00:00,1,0.6044499999999999,0.6044499999999999,loss,13458380.105081972,1h
2025-06-10 12:00:00+00:00,2025-06-10 15:05:00+00:00,1,0.6051599999999999,0.6044266785714285,loss,13185491.230645956,1h
2025-06-11 01:00:00+00:00,2025-06-11 12:30:00+00:00,-1,0.60474,0.60474,loss,13317346.142952416,1h
2025-06-11 17:00:00+00:00,2025-06-11 17:22:00+00:00,-1,0.6042500000000001,0.6048595714285714,loss,13046556.931649229,1h
2025-06-11 18:00:00+00:00,2025-06-12 01:43:00+00:00,-1,0.6042500000000001,0.601993392857143,win,13501747.427983074,1h
2025-06-12 11:00:00+00:00,2025-06-13 00:07:00+00:00,1,0.6049899999999999,0.6049899999999999,loss,13636764.902262904,1h
2025-06-12 17:00:00+00:00,2025-06-13 00:00:00+00:00,1,0.6062099999999999,0.6062099999999999,loss,13773132.551285533,1h
2025-06-12 20:00:00+00:00,2025-06-13 00:02:00+00:00,1,0.60647,0.605779142857143,loss,13493624.078696307,1h
2025-06-12 23:00:00+00:00,2025-06-13 00:02:00+00:00,-1,0.60667,0.6055975892857144,win,13962784.353982197,1h
2025-06-13 00:00:00+00:00,2025-06-13 00:08:00+00:00,-1,0.6064900000000001,0.6048703571428573,win,14449339.80570365,1h
2025-06-13 18:00:00+00:00,2025-06-16 05:23:00+00:00,-1,0.6026900000000001,0.6026900000000001,loss,14593833.203760685,1h
2025-06-16 07:00:00+00:00,2025-06-16 13:31:00+00:00,1,0.6029899999999999,0.606937857142857,win,15103695.539214587,1h
2025-06-16 09:00:00+00:00,2025-06-16 14:03:00+00:00,1,0.60393,0.6079200892857145,win,15631380.923186434,1h
2025-06-16 11:00:00+00:00,2025-06-16 13:20:00+00:00,1,0.60441,0.6066250892857146,win,16176722.99103888,1h
2025-06-17 01:00:00+00:00,2025-06-17 11:05:00+00:00,1,0.6053099999999999,0.6077381249999999,win,16741249.56996354,1h
2025-06-17 07:00:00+00:00,2025-06-17 12:42:00+00:00,1,0.60676,0.60676,loss,16908662.065663178,1h
2025-06-17 13:00:00+00:00,2025-06-19 01:04:00+00:00,-1,0.60607,0.6009236607142856,win,17499645.43823873,1h
2025-06-17 15:00:00+00:00,2025-06-18 15:28:00+00:00,-1,0.60468,0.60468,loss,17674641.892621115,1h
2025-06-18 06:00:00+00:00,2025-06-18 06:23:00+00:00,-1,0.60309,0.6038942857142857,loss,17316698.60537129,1h
2025-06-18 08:00:00+00:00,2025-06-18 14:04:00+00:00,-1,0.60277,0.6041181071428571,loss,16967776.395289388,1h
2025-06-18 22:00:00+00:00,2025-06-18 22:45:00+00:00,-1,0.6027100000000001,0.6034777857142858,loss,16623942.615530778,1h
2025-06-19 00:00:00+00:00,2025-06-19 01:06:00+00:00,-1,0.6028100000000001,0.600483035714286,win,17204002.23772602,1h
2025-06-19 10:00:00+00:00,2025-06-19 17:44:00+00:00,-1,0.5975100000000001,0.5975100000000001,loss,17376042.26010328,1h
2025-06-19 13:00:00+00:00,2025-06-19 18:31:00+00:00,-1,0.59723,0.5986421071428571,loss,17026042.8536374,1h
2025-06-20 07:00:00+00:00,2025-06-22 21:04:00+00:00,-1,0.5994700000000001,0.5954876785714286,win,17620888.179162383,1h
2025-06-20 09:00:00+00:00,2025-06-20 09:10:00+00:00,-1,0.59953,0.6000792857142857,loss,17261935.516651794,1h
2025-06-20 11:00:00+00:00,2025-06-22 21:04:00+00:00,-1,0.5991500000000001,0.5963572321428574,win,17864563.53753886,1h
2025-06-20 12:00:00+00:00,2025-06-20 14:46:00+00:00,-1,0.59913,0.5965251785714285,win,18488115.251453623,1h
2025-06-20 18:00:00+00:00,2025-06-22 21:04:00+00:00,-1,0.59724,0.5957274999999997,win,19132163.469942287,1h
2025-06-20 19:00:00+00:00,2025-06-22 21:05:00+00:00,-1,0.5969800000000001,0.5948728571428572,win,19799529.995299008,1h
2025-06-23 01:00:00+00:00,2025-06-23 08:53:00+00:00,-1,0.5953400000000001,0.5915712500000001,win,20491203.619233362,1h
2025-06-23 08:00:00+00:00,2025-06-23 09:08:00+00:00,-1,0.59284,0.5906017857142856,win,21206117.137084704,1h
2025-06-23 22:00:00+00:00,2025-06-23 22:25:00+00:00,1,0.59737,0.5989044642857143,win,21944898.636120524,1h
2025-06-23 23:00:00+00:00,2025-06-24 09:23:00+00:00,1,0.59868,0.6034701785714289,win,22711827.167433504,1h
2025-06-24 01:00:00+00:00,2025-06-24 09:24:00+00:00,1,0.59971,0.6036727678571427,win,23505311.898919173,1h
2025-06-24 03:00:00+00:00,2025-06-24 07:54:00+00:00,1,0.60097,0.60097,loss,23740365.017908365,1h
2025-06-24 05:00:00+00:00,2025-06-24 07:52:00+00:00,1,0.6014999999999999,0.6014999999999999,loss,23977768.66808745,1h
2025-06-24 09:00:00+00:00,2025-06-24 12:58:00+00:00,1,0.60229,0.60229,loss,24217546.354768325,1h
2025-06-24 12:00:00+00:00,2025-06-24 12:17:00+00:00,1,0.60317,0.6027551428571429,loss,23721231.925592322,1h
2025-06-24 22:00:00+00:00,2025-06-25 00:49:00+00:00,1,0.60078,0.6016147321428571,win,24544454.70165088,1h
2025-06-25 00:00:00+00:00,2025-06-25 02:55:00+00:00,1,0.6011299999999999,0.603176875,win,25400527.39473172,1h
2025-06-25 14:00:00+00:00,2025-06-25 17:49:00+00:00,1,0.6014999999999999,0.6030581249999999,win,26285496.34738637,1h
2025-06-25 17:00:00+00:00,2025-06-26 02:52:00+00:00,1,0.6027899999999999,0.6058170535714286,win,27203324.986198656,1h
2025-06-25 22:00:00+00:00,2025-06-25 23:01:00+00:00,1,0.6036699999999999,0.6045075892857144,win,28147417.6263892,1h
2025-06-25 23:00:00+00:00,2025-06-26 01:03:00+00:00,1,0.60419,0.60419,loss,28428891.802653093,1h
2025-06-26 07:00:00+00:00,2025-06-26 11:25:00+00:00,1,0.60519,0.60519,loss,28713180.720679622,1h
